year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2005,New Jersey,NJ,Middle Atlantic,Northeast,8521427,4138329,4383098,38,bachelor's degree or higher,1940194,61672,NA,738969,129203,NA,NA,NA,NA,NA,NA,3443981,333900,935,1963,2.712,0.9123035231611324,0.3271478021971027,0.6728521978028973,0.43352387832569345,utility gas,0.6992612245365626,0.10833028852090863,0.0022355500840877465
2005,New Mexico,NM,Mountain,West,1887200,921347,965853,36.2,high school graduate (includes equivalency),303523,37492,NA,347759,70230,NA,NA,NA,NA,NA,NA,838668,125500,587,1979,2.593,0.8678285090166789,0.30703470638344643,0.6929652936165536,0.36306738781019426,utility gas,0.6662869940369872,0.14571734769585887,0.0011170344315902284
2005,New York,NY,Middle Atlantic,Northeast,18655275,8993239,9662036,37.5,bachelor's degree or higher,3923933,49480,NA,2565836,663074,NA,NA,NA,NA,NA,NA,7853020,258900,841,1954,2.622,0.9059484122032033,0.4467051546356975,0.5532948453643025,0.3260273117857843,utility gas,0.5168447062034898,0.08475379127297741,0.004398665191917667
2005,North Carolina,NC,South Atlantic,South,8411041,4112482,4298559,36.2,high school graduate (includes equivalency),1399562,40729,NA,1262770,294728,NA,NA,NA,NA,NA,NA,3940554,127600,635,1981,2.467,0.8653199524736878,0.31810876756680667,0.6818912324331934,0.39985063013982297,electricity,0.2565504539802454,0.5164635290805434,0.002793092931046618
2005,North Dakota,ND,West North Central,North Central,609645,303655,305990,39.1,some college or associate's degree,105513,41030,NA,68199,16954,NA,NA,NA,NA,NA,NA,304458,88600,479,1971,2.254,0.8882571651919148,0.32520328209527544,0.6747967179047246,0.32234988077173204,utility gas,0.41601556000103534,0.32024094336203995,0.00925169263081605
2005,Ohio,OH,East North Central,North Central,11155606,5423416,5732190,37.6,high school graduate (includes equivalency),1725572,43493,NA,1450650,398030,NA,NA,NA,NA,NA,NA,5007091,129600,613,1964,2.475,0.900287412391746,0.3006354955088057,0.6993645044911942,0.4340214707501821,utility gas,0.6812255854879774,0.19199431388247226,0.002813998160086658
2005,Oklahoma,OK,West South Central,South,3433496,1680757,1752739,36.5,high school graduate (includes equivalency),502454,37063,NA,564544,151861,NA,NA,NA,NA,NA,NA,1588749,89100,547,1973,2.487,0.8689824509724318,0.321270176988907,0.6787298230110931,0.35637410314656376,utility gas,0.5870345756720834,0.28967944980244026,0.002217159992611881
2005,Oregon,OR,Pacific,West,3560109,1760453,1799656,37,some college or associate's degree,661161,42944,NA,498854,164750,NA,NA,NA,NA,NA,NA,1558421,201200,689,1975,2.498,0.9146052318340167,0.36217814696844264,0.6378218530315574,0.41322530946387404,electricity,0.3738778116098615,0.47536517602817574,0.0031339890833064392
2005,Pennsylvania,PA,Middle Atlantic,Northeast,11979147,5799557,6179590,39.7,high school graduate (includes equivalency),2099864,44537,NA,1420396,373802,NA,NA,NA,NA,NA,NA,5422362,131900,647,1958,2.465,0.8963141892776616,0.2851958997065928,0.7148041002934072,0.39971197053977586,utility gas,0.5166182455649426,0.1736964367281601,0.0018427452707123664
2005,Rhode Island,RI,New England,Northeast,1032662,497891,534771,38.4,bachelor's degree or higher,206893,51458,NA,126150,25076,NA,NA,NA,NA,NA,NA,447810,281300,775,1955,2.543,0.9068332551751859,0.37294780208279465,0.6270521979172053,0.41062504187043614,utility gas,0.4787645072878113,0.07562627896840347,0.001837035723696037
2005,South Carolina,SC,South Atlantic,South,4113961,1986328,2127633,37.1,high school graduate (includes equivalency),625257,39316,NA,638643,163205,NA,NA,NA,NA,NA,NA,1927864,113100,611,1981,2.515,0.8485593382105792,0.2990921855582255,0.7009078144417745,0.3802648942041555,electricity,0.25764912064072104,0.6212895965357443,0.0026028374473610052
2005,South Dakota,SD,West North Central,North Central,746033,368834,377199,37,high school graduate (includes equivalency),119897,40310,NA,101286,23915,NA,NA,NA,NA,NA,NA,347931,101700,500,1971,2.404,0.8919325958307825,0.3096210175586712,0.6903789824413288,0.3589418591617303,utility gas,0.4905020768147559,0.22411554114800003,0.002996800190764055
