year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2019,New York,NY,Middle Atlantic,Northeast,19453561,9450810,10002751,39.2,bachelor's degree or higher,5166218,72108,445165,2467006,1049322,0.5149,3474539,15738264,2654314,3471241,4930053,8404205,338700,1309,1957,2.612,0.8860816698307573,0.4648023879211668,0.5351976120788332,0.28253261313830397,utility gas,0.606971009876441,0.12239398550681822,0.011208689033642853
2019,North Carolina,NC,South Atlantic,South,10488084,5094327,5393757,39.1,bachelor's degree or higher,2321185,57341,236872,1386122,468291,0.4743,1667365,8613697,1268717,1943472,1848737,4748148,193200,931,1989,2.592,0.8521950031886116,0.3468903317262875,0.6531096682737125,0.3518015866396751,electricity,0.24436182948179444,0.6426202096310055,0.004517901080183909
2019,North Dakota,ND,West North Central,North Central,762062,388339,373723,35.5,some college or associate's degree,153397,64577,10920,78112,22407,0.4558,137708,606464,111989,122416,89843,379974,205400,804,1979,2.356,0.8514240448030654,0.38670989957313173,0.6132901004268683,0.27200545300467927,electricity,0.4003814304569438,0.4126898265635094,0.008163353620652883
2019,Ohio,OH,East North Central,North Central,11689100,5732207,5956893,39.6,high school graduate (includes equivalency),2356585,58642,272654,1484862,569024,0.4651,1609257,9905694,1143457,2203205,2310851,5232943,157200,813,1969,2.471,0.9039540465088193,0.33963879974800965,0.6603612002519903,0.37076650748918916,utility gas,0.6502198573464064,0.24678923713728823,0.0041588976690893256
2019,Oklahoma,OK,West South Central,South,3956971,1962477,1994494,37,high school graduate (includes equivalency),686509,54449,81705,583029,179397,0.4739,710198,3161460,552687,723714,669587,1749520,147000,814,1979,2.647,0.854606406328593,0.3446160287489357,0.6553839712510643,0.3047378709588916,utility gas,0.510081590421302,0.39539217109174923,0.0027040747054979733
2019,Oregon,OR,Pacific,West,4217737,2089676,2128061,39.7,bachelor's degree or higher,1032316,67058,107991,470643,221265,0.45,669731,3505271,508426,821972,874108,1808482,354600,1185,1979,2.557,0.9120090772260935,0.37119244406288043,0.6288075559371196,0.3788796349645725,electricity,0.368742997249829,0.5244999248189592,0.004083421852945884
2019,Pennsylvania,PA,Middle Atlantic,Northeast,12801989,6272527,6529462,40.8,high school graduate (includes equivalency),2917402,63463,295633,1489333,693470,0.4745,2302367,10290769,1773706,2567389,2536238,5732580,192600,951,1963,2.501,0.8930096047503916,0.31594966371043876,0.6840503362895612,0.36101912228002053,utility gas,0.5146440425148298,0.23878053206632457,0.004455536349179343
2019,Rhode Island,RI,New England,Northeast,1059361,517221,542140,40.1,bachelor's degree or higher,260275,71169,24199,110244,58945,0.4628,180406,863347,135886,205459,212460,470177,283000,1043,1960,2.602,0.866001527084481,0.38319735543035655,0.6168026445696434,0.3542708384289321,utility gas,0.5528840250114202,0.1026170629755338,0.002441216777102664
2019,South Carolina,SC,South Atlantic,South,5148714,2485001,2663713,39.9,some college or associate's degree,1054559,56227,116037,692744,195412,0.4747,871881,4176632,639473,1043459,947699,2351364,179800,922,1989,2.606,0.8403271462861556,0.29729163450856944,0.7027083654914306,0.34234639979178044,electricity,0.23516294982324645,0.7089854573703829,0.00539041406133361
2019,South Dakota,SD,West North Central,North Central,884659,449458,435201,37.7,some college or associate's degree,174784,59533,14033,101946,30877,0.436,130590,736715,100726,162822,113817,401749,185000,769,1978,2.5,0.8806468715541296,0.3218437587443718,0.6781562412556282,0.3320356740153678,utility gas,0.4636220000621822,0.32487372773806594,0.00656587497420852
2019,Tennessee,TN,East South Central,South,6829174,3329115,3500059,39,high school graduate (includes equivalency),1348224,56071,152373,922176,303067,0.4749,997868,5721447,762069,1269246,1318061,3028437,191900,904,1985,2.572,0.8766030133696029,0.33487950030454994,0.6651204996954501,0.3395276177117107,electricity,0.3129262898735355,0.6254329524920924,0.0032624700676564195
2019,Texas,TX,West South Central,South,28995881,14385762,14610119,35.1,bachelor's degree or higher,5776533,64034,635077,3865010,1080895,0.4753,4035692,24478736,3163539,4001649,4532753,11283892,200400,1091,1988,2.904,0.884900883489491,0.38115172507587786,0.6188482749241221,0.30707029099534094,electricity,0.35042942873229643,0.6110862296579933,0.004334647354475046
2019,Utah,UT,Mountain,West,3205958,1610671,1595287,31.2,some college or associate's degree,664661,75780,52422,281279,56620,0.4268,437321,2741073,333997,384901,307472,1133543,330300,1098,1989,3.131,0.9032343722293729,0.2935640300628507,0.7064359699371493,0.44699671737199204,utility gas,0.8083214908361047,0.14810593296902394,0.0015685814885896929
2019,Vermont,VT,New England,Northeast,623989,309164,314825,42.8,bachelor's degree or higher,172272,63001,11552,60897,26291,0.4471,88490,529574,60479,138987,141757,339412,233200,980,1975,2.375,0.7741829988332763,0.2911895329322175,0.7088104670677825,0.3383881536303961,"fuel oil, kerosene, etc.",0.1858148093177606,0.0636419337283601,9.361906175432988e-4
2019,Virginia,VA,South Atlantic,South,8535519,4201799,4333720,38.5,bachelor's degree or higher,2325070,76456,175528,822775,248330,0.469,1375654,6928017,1026368,1466136,1133379,3562258,288800,1254,1983,2.674,0.8960179189716185,0.338717363332265,0.661282636667735,0.401246625033897,electricity,0.3264435920644066,0.5619423487404002,0.004555982789901897
2019,Washington,WA,Pacific,West,7614893,3807572,3807321,37.9,bachelor's degree or higher,1955632,78687,179353,730240,312084,0.4577,1184250,6313203,880495,1284693,1484073,3195098,387600,1359,1983,2.597,0.9178050250727834,0.36923904262505725,0.6307609573749428,0.3921303822292775,electricity,0.34165860465401776,0.5634349391316624,0.004644878715161278
2019,West Virginia,WV,South Atlantic,South,1792147,885861,906286,42.9,high school graduate (includes equivalency),269706,48850,47424,278734,123328,0.4644,237352,1524700,153725,428227,467909,894983,124600,727,1974,2.461,0.813618806167268,0.265879767912933,0.734120232087067,0.2768711807933782,electricity,0.39917327565489064,0.4504837436055893,0.0023455900024032684
2019,Wisconsin,WI,East North Central,North Central,5822434,2892804,2929630,39.9,bachelor's degree or higher,1258379,64168,98873,591486,223798,0.4391,812773,4938631,597376,1094731,949309,2725153,197200,867,1974,2.44,0.8757757821303979,0.3279600506657315,0.6720399493342686,0.36905707679532124,utility gas,0.6579644124773791,0.1608967985308111,0.005835441961298454
2019,Wyoming,WY,Mountain,West,578759,296005,282754,38.1,some college or associate's degree,113557,65003,10539,56945,11007,0.4345,82755,486104,61406,105893,66453,280281,235200,822,1980,2.483,0.8317652641456252,0.2811588483579836,0.7188411516420165,0.3539055447925475,utility gas,0.5919623554442195,0.22763460416595174,0.0045254109330496554
