year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2010,Maine,81365,9662,8077,17618,3236,4531,3518,6031,16603,3830,8259
2010,Maryland,210346,25293,20025,37652,6815,14193,11253,16312,42010,10786,26007
2010,Massachusetts,279200,29885,25895,54880,9124,17967,15645,22970,58952,11342,32540
2010,Michigan,529762,60390,56999,104942,20290,28226,27085,40941,111010,19035,60844
2010,Minnesota,205079,24526,22122,43302,5677,11747,11327,16642,43998,6994,18744
2010,Mississippi,188862,18452,14812,36851,8431,9298,8211,12497,46602,11407,22301
2010,Missouri,308170,32732,29091,64759,11317,18443,13385,22476,69220,13750,32997
2010,Montana,42197,4154,3655,9717,1417,3400,2060,2819,8791,1977,4207
2010,Nebraska,68471,7276,6944,12466,2085,5457,4891,6146,13659,2451,7096
2010,Nevada,95375,10034,9190,17632,4640,7019,4477,6409,22287,4199,9488
2010,New Hampshire,57241,7410,5382,13441,1212,2626,4029,4419,12071,2093,4558
2010,New Jersey,308148,35705,25905,57993,12135,21234,14466,19310,59455,13616,48329
2010,New Mexico,99678,6753,9776,22447,5077,7309,3753,6245,21306,4406,12606
2010,New York,733376,72441,65129,139639,26838,53207,32986,50196,146931,39764,106245
2010,North Carolina,470758,49517,38962,100960,21259,26656,24873,31837,99824,23427,53443
2010,North Dakota,20060,1670,2477,4490,824,2308,632,1187,3644,607,2221
2010,Ohio,588723,69119,57658,121555,18920,32826,32634,45076,125541,23802,61592
2010,Oklahoma,209711,17738,18336,41553,8176,10945,12078,17946,51380,9837,21722
2010,Oregon,215992,17462,18054,44579,9369,14836,9801,18255,47921,8362,27353
2010,Pennsylvania,638207,72352,59456,124859,21797,41884,34040,41608,143862,24440,73909
2010,Rhode Island,58207,6900,5287,13281,2092,2706,2853,4940,13598,1104,5446
2010,South Carolina,241989,17726,22618,52684,11227,15220,10787,14875,55548,12453,28851
2010,South Dakota,31053,3757,3988,6104,1086,2725,1027,2311,5637,1175,3243
2010,Tennessee,377702,33854,33894,82738,16982,20895,14938,24985,88461,18416,42539
