year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2010,Maryland,800920,77231,121887,25931,21997,25109,30804,19540,17269,14115,78443,119680,42366,52020,40895,33360,22986,24756,32531
2010,Massachusetts,1305158,80234,146767,53262,65573,62918,71604,51532,30854,27490,76455,135248,73383,98043,86981,81843,67337,43533,52101
2010,Michigan,1894719,170560,293990,71738,62489,70328,73098,54528,35383,27501,159853,284523,109643,127078,102406,84916,66838,46463,53384
2010,Minnesota,745290,66054,94129,26128,36153,31380,31233,21765,14929,13769,65054,88088,43550,59600,43998,36812,27043,20691,24914
2010,Mississippi,673770,72599,118615,14249,12713,16125,18034,18427,15106,10127,75009,114132,29600,34151,22469,25489,25550,24187,27188
2010,Missouri,881224,98028,138394,20917,24010,25072,32533,23689,18431,15314,94983,135140,43048,48728,34196,37401,32853,28958,29529
2010,Montana,123959,13408,23870,2971,4767,3540,4326,4720,2557,2668,12093,18875,4605,5029,3654,4514,4254,4224,3884
2010,Nebraska,238913,32224,38337,5794,6639,5358,5325,5106,5889,5341,29196,38423,10200,12671,8065,7747,6877,6647,9074
2010,Nevada,293715,36666,42448,6801,8199,7658,9697,8278,9774,7046,36962,42049,11636,13843,10118,11840,9322,11351,10027
2010,New Hampshire,137668,14239,23542,2886,3108,4776,5313,2577,2589,2684,13934,22895,6713,6439,6340,6237,4298,3850,5248
2010,New Jersey,1146146,106661,168943,29320,32857,40347,44846,29459,26499,24436,102407,159949,53055,73335,66759,55201,43693,36232,52147
2010,New Mexico,463875,49287,77979,14770,15675,11751,12819,12415,9175,7074,48589,77795,22651,26099,19249,16850,16591,12755,12351
2010,New York,4058015,298202,512326,188560,155811,162276,191537,143654,83725,77683,279816,496437,233955,266584,245430,233908,184874,140484,162753
2010,North Carolina,1576583,183339,272946,40629,33272,40957,43359,38142,32232,21706,175065,251752,74101,85146,62323,61413,53983,51356,54862
2010,North Dakota,61402,7553,7987,1582,2016,1450,1492,1687,1439,2090,6475,7303,3781,4317,2048,2346,1798,2466,3572
2010,Ohio,1853366,184790,290241,49858,69127,60739,55612,40018,33270,29788,179515,276941,105883,149235,95084,73382,53332,52161,54390
2010,Oklahoma,617260,78179,110600,14237,11929,11059,13972,12934,12226,10606,77653,113069,27710,26635,19559,18823,16969,19897,21203
2010,Oregon,552123,57604,86123,16507,16465,17773,18250,16120,13415,12187,52070,83043,23441,29882,24348,23018,20740,18412,22725
2010,Pennsylvania,2089189,176470,314676,73827,65856,65498,85379,62118,47326,43809,175390,293620,112730,121022,102245,104874,86762,70334,87253
2010,Rhode Island,172414,13242,24259,3568,6351,7046,9411,6910,4092,2894,11766,21646,8199,11443,11795,9185,8189,5427,6991
2010,South Carolina,778312,85086,120889,20184,18955,20014,23431,23968,17239,11138,84922,122142,41013,42494,32616,28180,29007,28132,28902
2010,South Dakota,106617,12611,18790,3093,2248,2070,3824,2442,3809,2364,11198,17302,4244,3863,4039,3644,2518,3625,4933
2010,Tennessee,1185110,115153,176224,39925,36482,38507,37068,32499,31204,18030,111194,171848,64822,80671,64154,45846,41662,39871,39950
2010,Texas,4172579,543649,799430,85576,84915,87751,101783,88462,83434,69959,535350,753450,154073,154049,126943,125562,121201,124377,132615
2010,Utah,317109,40231,50396,8739,14973,10834,7790,6027,6205,5277,37127,48521,13104,21156,12379,9099,8567,8858,7826
2010,Vermont,151102,10504,20247,5449,7553,6501,8752,5535,2363,2217,11369,19847,7311,11897,8301,7735,6918,3851,4752
2010,Virginia,807350,88875,134490,16585,18990,18259,25257,20175,20897,16784,92987,124064,34594,44135,30828,28914,25778,34390,31348
2010,Washington,1058923,118234,174736,28145,29490,30277,32225,29692,25064,18776,108350,160167,48753,60741,47165,38566,38726,28910,40906
2010,West Virginia,344628,29757,52138,8679,9267,11525,15956,14554,8730,5355,28942,52822,12729,19327,17475,17582,16052,11143,12595
2010,Wisconsin,976382,87895,131908,26420,44816,39684,36446,27145,17766,17972,84061,128165,54774,84096,57870,48776,33347,22849,32392
2010,Wyoming,70844,9478,11610,1358,2638,925,1253,1499,1360,1632,10989,11504,3652,2996,1567,1754,1740,2979,1910
2011,Alabama,865949,88964,143761,21602,19073,19762,25113,27780,21400,15217,87412,144453,37387,40964,28423,33615,36937,34387,39699
2011,Alaska,115414,12844,19609,3942,3207,2271,3220,3194,3287,1524,13799,19179,6778,5914,4672,3822,2610,2878,2664
2011,Arizona,1316609,120959,195286,58528,55083,50167,50049,39037,26438,21643,111569,178954,73161,89860,72310,64300,43043,34218,32004
2011,Arkansas,613619,70811,120093,12507,11000,13049,18099,17709,13337,10745,66149,104196,22400,25233,21004,23032,21050,18772,24433
2011,California,7320362,695120,1163139,236515,222791,218142,250692,208862,165252,166406,675992,1117041,349129,409427,341569,302397,266974,243021,287893
2011,Colorado,691332,75678,103239,19237,24233,20077,22878,20271,14659,12962,67104,107052,31281,44256,33321,28725,22584,21208,22567
2011,Connecticut,574698,45852,77820,20690,22329,22839,22565,15549,11571,12898,40857,77457,29228,46542,37068,29925,20320,18249,22939
2011,Delaware,172403,16310,22856,5170,8220,5496,7217,5063,3380,1999,12581,25481,9772,14134,10995,8282,6268,5058,4121
2011,Florida,3097607,311313,481471,87550,77001,82628,105364,92910,97458,88430,296391,462966,121353,156012,120836,117112,105365,134342,159105
