year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2010,North Carolina,691052,6679,15157,153144,48111,57543,4860,14679,189363,74520,126996
2010,North Dakota,33107,484,613,6537,2631,4215,97,777,6430,3238,8085
2010,Ohio,804510,7479,18532,166196,53032,77557,6645,18484,220001,81256,155328
2010,Oklahoma,324949,2762,8466,69830,24992,29596,3237,9142,87843,35507,53574
2010,Oregon,262475,2363,6909,56177,19137,26727,2454,7817,66190,24425,50276
2010,Pennsylvania,837975,6701,16936,163497,58090,88657,4938,17482,205271,83653,192750
2010,Rhode Island,69391,486,1456,14485,4377,7268,177,1584,18232,6485,14841
2010,South Carolina,353574,2399,10431,76923,28345,29681,1381,7408,96494,39906,60606
2010,South Dakota,44993,270,1902,8099,2844,6407,185,806,9975,4876,9629
2010,Tennessee,536181,3124,13413,115732,44167,42074,3913,15997,148842,59893,89026
2010,Texas,1545554,19923,46358,316250,115649,137851,16483,43092,408689,172880,268379
2010,Utah,102876,1213,3976,19083,5233,10395,1712,3558,26719,11747,19240
2010,Vermont,36521,221,1021,7704,2366,3705,740,1966,8119,3076,7603
2010,Virginia,461091,4776,11557,96635,33072,45432,3360,10505,116888,51307,87559
2010,Washington,392981,3867,8747,79235,28127,42210,2438,14816,95304,39558,78679
2010,West Virginia,203602,1421,6277,47837,15802,15859,916,6024,56790,21497,31179
2010,Wisconsin,303410,3346,6200,59525,20296,36457,3210,9193,74071,27312,63800
2010,Wyoming,27583,159,1146,5690,2039,3054,259,712,6439,3082,5003
2011,Alabama,447426,3825,11307,103938,33480,35971,3074,10960,125311,46515,73045
2011,Alaska,38015,166,2070,8647,2721,3521,371,1766,9990,4251,4512
2011,Arizona,384331,2834,12173,71584,29033,46608,3607,9424,94759,42538,71771
2011,Arkansas,271736,2734,6569,60810,22367,22961,2313,7299,74334,28957,43392
2011,California,1986825,22697,50737,362261,143632,223797,18901,47094,452783,216619,448304
2011,Colorado,238504,3752,7499,50003,15152,24644,2406,6662,59332,22540,46514
2011,Connecticut,195959,2457,3723,35141,14504,21552,1637,5158,46466,20999,44322
2011,Delaware,58216,715,1781,8855,3774,5545,209,1067,17576,6976,11718
2011,Florida,1354368,8831,29565,260529,103524,176528,8269,24774,286686,143916,311746
2011,Georgia,639314,6144,17618,138484,46121,44893,6149,19921,181941,72942,105101
2011,Hawaii,73240,966,1654,13775,5429,9907,291,2182,12710,6984,19342
2011,Idaho,99838,1011,2470,19853,8255,10973,2258,2285,23256,12157,17320
2011,Illinois,722954,7405,17841,130877,51471,79311,5480,19003,171833,78922,160811
2011,Indiana,442041,3935,11206,91068,30964,39240,3759,11956,121353,48499,80061
2011,Iowa,167741,1019,2890,31538,11875,20072,1413,3749,40900,17339,36946
2011,Kansas,176218,2149,5035,33621,12683,18236,1729,5030,44527,16843,36365
2011,Kentucky,408741,3244,11797,99464,29949,30634,2429,11820,116264,41819,61321
2011,Louisiana,374314,2893,12322,85301,25253,30122,3746,10767,101101,40087,62722
2011,Maine,96879,461,1907,20213,7708,11140,759,3049,22901,9370,19371
2011,Maryland,312453,2741,6811,58034,20456,28060,2312,6939,85150,35292,66658
2011,Massachusetts,367182,3812,8628,69286,24644,37323,4188,11250,87408,37716,82927
2011,Michigan,712669,6551,20532,152820,48403,64606,4725,20410,190127,71527,132968
2011,Minnesota,241173,2843,5640,45159,18045,28418,2219,7690,54344,23731,53084
2011,Mississippi,285000,3432,7539,61873,24348,23115,1947,8601,76539,30391,47215
2011,Missouri,444132,3896,13444,92114,32122,42025,2884,10714,122863,48246,75824
2011,Montana,65204,289,3928,13381,5234,6906,843,2400,14246,5708,12269
2011,Nebraska,90148,679,1816,17077,6544,10656,741,1906,22605,7959,20165
2011,Nevada,167737,1804,4392,37112,14075,16918,919,3583,46290,17728,24916
2011,New Hampshire,71975,839,1052,16312,5663,8770,385,1727,17175,7102,12950
2011,New Jersey,475491,4171,9998,80172,34268,51884,3514,10987,109717,50030,120750
2011,New Mexico,151587,885,4598,32755,11651,16408,1018,5006,36769,16696,25801
2011,New York,1172393,10586,26958,208834,75323,117073,9623,29374,293389,126847,274386
2011,North Carolina,683480,4411,16718,148284,49112,58289,3620,17180,188636,74246,122984
2011,North Dakota,33723,376,707,6166,3217,4102,210,677,7192,3708,7368
2011,Ohio,805733,7873,19259,167727,51831,74090,5590,20908,217976,85562,154917
2011,Oklahoma,319110,2981,9020,68016,25979,29070,2982,8198,89130,33282,50452
2011,Oregon,263084,2950,7102,51461,22591,24587,1320,6455,69535,23841,53242
2011,Pennsylvania,868370,7646,21190,168512,55463,90947,5572,21241,222027,84500,191272
2011,Rhode Island,63454,499,1670,12063,4036,8080,135,843,16413,5883,13832
2011,South Carolina,357273,2391,9965,80617,26890,29258,2059,7433,98732,39472,60456
2011,South Dakota,47830,468,1027,9943,3595,6143,215,1358,9828,4381,10872
2011,Tennessee,543325,4411,12744,116117,40341,42117,4375,16358,153643,61489,91730
2011,Texas,1555744,20642,46929,313687,114156,143773,14314,41872,407378,177151,275842
2011,Utah,112962,1957,3937,25061,7421,11148,1585,5093,25752,10340,20668
2011,Vermont,35589,370,818,7236,2738,3461,354,1202,7801,3746,7863
2011,Virginia,472073,4369,10834,97473,33152,42289,3719,12554,123230,49066,95387
2011,Washington,412806,4752,10034,82166,28000,40771,4335,12304,109324,42283,78837
2011,West Virginia,206068,1430,5425,51646,14996,18341,1010,5145,55197,20834,32044
2011,Wisconsin,312710,3951,7602,59226,22697,35418,2957,9546,75021,29795,66497
2011,Wyoming,28493,178,991,6492,2559,2952,101,989,6858,2286,5087
2012,Alabama,462130,3788,13292,104208,36478,36439,3012,10454,125709,50559,78191
2012,Alaska,35877,154,1087,9391,2604,3091,201,1416,9178,4170,4585
2012,Arizona,403052,4345,9645,80323,34203,44591,3785,10895,92679,44607,77979
2012,Arkansas,264502,2986,6717,60308,21711,23148,1601,6407,71415,29426,40783
2012,California,2038248,24041,54801,362896,143073,236532,14864,49852,457104,234359,460726
2012,Colorado,251723,2881,6867,48962,18260,25052,2349,7427,68098,26048,45779
2012,Connecticut,185745,2990,2570,33161,11729,21428,1760,4634,42826,20815,43832
2012,Delaware,59863,525,1381,10702,4486,6689,343,1216,17290,6180,11051
2012,Florida,1355292,8502,29337,253303,110771,166083,9660,29233,297582,150559,300262
2012,Georgia,633764,5369,17294,137905,50197,50730,4637,16036,169817,73583,108196
2012,Hawaii,78040,358,1897,14317,6886,9590,660,1389,15955,8009,18979
2012,Idaho,88730,1702,2097,17946,6501,10016,1083,3027,21274,9943,15141
2012,Illinois,741078,8505,18502,136878,56651,77206,7753,17956,173733,86164,157730
2012,Indiana,428230,3520,10819,88883,31774,41064,4196,10352,113868,45286,78468
2012,Iowa,166360,1572,2856,31419,13087,20119,1027,4775,38600,17601,35304
2012,Kansas,174090,1879,5687,32378,11330,19513,1134,5074,43619,17305,36171
2012,Kentucky,405879,3519,10369,97148,31659,31292,3488,11622,111748,44038,60996
2012,Louisiana,368263,3602,11440,76456,29956,29505,2637,9438,97157,45285,62787
2012,Maine,95195,713,2440,21092,7651,9620,689,3036,24242,9137,16575
2012,Maryland,316089,2539,7160,57373,22183,33105,3017,10040,78700,36989,64983
2012,Massachusetts,369599,4061,9272,68676,25832,42548,3048,8569,85179,38816,83598
2012,Michigan,710224,4720,20266,155989,48568,64559,4607,18575,189686,76046,127208
2012,Minnesota,255404,2184,6082,49589,16854,29603,2478,8164,60112,25639,54699
2012,Mississippi,280003,1848,5863,63378,23200,22089,1556,7039,77594,33864,43572
2012,Missouri,453337,4235,9593,98482,36356,43038,3360,10784,121218,48983,77288
2012,Montana,65705,250,1680,13268,5481,7499,576,1177,16563,7088,12123
2012,Nebraska,90037,1159,2414,15493,6656,11068,557,2012,21838,8013,20827
2012,Nevada,177455,1157,5916,36320,17169,17922,1481,4222,45558,19102,28608
2012,New Hampshire,74985,583,1816,16403,6162,7054,732,2463,17300,7864,14608
2012,New Jersey,476625,5217,11388,77218,36248,52541,3831,9157,109224,55280,116521
2012,New Mexico,163578,1913,5254,33251,13307,18015,1392,4722,40274,16273,29177
2012,New York,1175780,10141,26060,209539,77416,126038,8408,30136,277949,136024,274069
2012,North Carolina,683994,4055,17380,143294,51302,58409,4695,16595,182383,77576,128305
2012,North Dakota,33495,187,655,7615,2221,4294,271,1259,6805,3087,7101
2012,Ohio,812083,7018,19383,175067,58044,73407,6050,22516,214834,86504,149260
2012,Oklahoma,312363,2935,8882,68127,26643,28049,1939,8405,84878,33678,48827
2012,Oregon,263737,1825,5529,53679,18560,28875,1498,8434,61346,27951,56040
2012,Pennsylvania,862977,8434,22371,163794,60524,87933,6980,20882,213078,90554,188427
2012,Rhode Island,64315,332,1584,12739,3423,6761,724,1841,16828,5816,14267
2012,South Carolina,372624,3150,8125,78778,31836,30699,2274,7996,105787,41945,62034
2012,South Dakota,46016,723,1762,9416,3425,6389,404,1244,10233,4091,8329
2012,Tennessee,547852,5381,12616,123944,44921,44302,3288,13229,150901,58754,90516
2012,Texas,1569404,20021,44778,318271,128130,144170,15161,42801,401825,174178,280069
2012,Utah,121168,1931,3823,22905,9272,13017,2184,4642,30059,12363,20972
2012,Vermont,37922,183,1077,8657,3186,4128,197,635,9267,2854,7738
2012,Virginia,459611,3457,10707,87156,36756,43722,3220,13301,115296,51989,94007
2012,Washington,397293,2107,10707,80165,27144,41107,2651,13377,102000,42966,75069
2012,West Virginia,204396,1626,5190,50262,17966,15507,1344,5080,53973,20748,32700
2012,Wisconsin,318154,3431,6989,65549,21088,36316,2755,7545,77334,30159,66988
2012,Wyoming,32242,381,1087,5673,2535,3913,238,994,8280,3387,5754
2013,Alabama,438611,2562,9607,94710,31925,36466,3345,11205,124793,49604,74394
2013,Alaska,38634,197,763,10534,3173,3098,186,1373,10335,3347,5628
2013,Arizona,428167,2597,12177,86096,35264,48847,4248,12994,94367,51880,79697
2013,Arkansas,282938,1758,8946,64409,23549,25155,1318,6850,73073,30699,47181
2013,California,2108217,22655,55488,368326,163242,247197,18356,49113,463572,242984,477284
