year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2011,Hawaii,211287,137,849,39,1117,1557,3055,6180,46814,35590,95,509,610,944,782,2481,6113,49393,55022
2011,Idaho,229991,407,226,749,1397,2115,3884,9407,54699,35785,107,130,317,1482,1501,3813,7842,57967,48163
2011,Illinois,1763445,2368,4974,3289,7894,15040,33308,54147,371471,274428,5206,5712,2637,8213,15018,28993,58150,440792,431805
2011,Indiana,960050,1371,1859,2232,6525,11316,20157,35893,202945,142825,1528,2464,2429,4607,10140,22807,36051,236176,218725
2011,Iowa,491076,555,864,744,2801,3835,9406,13736,103524,82313,687,1213,985,1667,3982,8052,15609,116395,124708
2011,Kansas,415323,478,1403,1031,1616,3593,8351,12681,86437,67439,844,1306,1257,2250,4617,7898,14033,98049,102040
2011,Kentucky,741567,752,3562,1660,6629,13564,26861,43951,150449,94874,1177,4192,1385,4520,9438,24789,37857,172650,143257
2011,Louisiana,677880,1714,2524,3507,4375,9710,18759,38291,139159,90273,1164,1888,1413,4616,6850,16334,32914,164707,139682
2011,Maine,248339,124,281,377,1555,3637,6670,9813,53283,38576,238,328,149,1465,3492,5982,9085,58149,55135
2011,Maryland,781162,1130,1883,2511,3406,5368,13715,20824,168636,118561,2002,3312,2078,4665,8302,14944,26831,198039,184955
2011,Massachusetts,986699,701,2372,2535,5518,8051,17818,28858,200676,157059,947,1432,2722,4988,10456,21678,32522,238162,250204
2011,Michigan,1617232,1813,4384,4792,12483,17096,40257,67423,337141,241169,2319,3822,3921,9762,20339,35121,68923,380709,365758
2011,Minnesota,752593,790,1755,1254,4894,5887,12909,21700,167531,123207,754,1611,1973,3645,5971,11887,20757,184759,181309
2011,Mississippi,485773,760,1401,1453,4143,6768,14078,27227,96310,59613,1015,1840,1439,4521,8429,17270,28342,113456,97708
