year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,med_home_value,med_gross_rent,unemployed,below_poverty,mortgaged_housing,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_year_built,household_size,occupied_housing,owner_occupied,renter_occupied,predominant_heat,gas_heat,electric_heat,no_heat
2005,Ohio,OH,East North Central,North Central,11155606,5423416,5732190,37.6,high school graduate (includes equivalency),1725572,43493,129600,613,NA,1450650,2173185,398030,NA,NA,NA,NA,NA,NA,5007091,1964,2.475,4507821,3152610,1355211,utility gas,3070843,865476,12685
2005,Oklahoma,OK,West South Central,South,3433496,1680757,1752739,36.5,high school graduate (includes equivalency),502454,37063,89100,547,NA,564544,566189,151861,NA,NA,NA,NA,NA,NA,1588749,1973,2.487,1380595,937051,443544,utility gas,810457,399930,3061
2005,Oregon,OR,Pacific,West,3560109,1760453,1799656,37,some college or associate's degree,661161,42944,201200,689,NA,498854,643979,164750,NA,NA,NA,NA,NA,NA,1558421,1975,2.498,1425340,909113,516227,electricity,532903,677557,4467
2005,Pennsylvania,PA,Middle Atlantic,Northeast,11979147,5799557,6179590,39.7,high school graduate (includes equivalency),2099864,44537,131900,647,NA,1420396,2167383,373802,NA,NA,NA,NA,NA,NA,5422362,1958,2.465,4860140,3474048,1386092,utility gas,2510837,844189,8956
2005,Rhode Island,RI,New England,Northeast,1032662,497891,534771,38.4,bachelor's degree or higher,206893,51458,281300,775,NA,126150,183882,25076,NA,NA,NA,NA,NA,NA,447810,1955,2.543,406089,254639,151450,utility gas,194421,30711,746
2005,South Carolina,SC,South Atlantic,South,4113961,1986328,2127633,37.1,high school graduate (includes equivalency),625257,39316,113100,611,NA,638643,733099,163205,NA,NA,NA,NA,NA,NA,1927864,1981,2.515,1635907,1146620,489287,electricity,421490,1016372,4258
2005,South Dakota,SD,West North Central,North Central,746033,368834,377199,37,high school graduate (includes equivalency),119897,40310,101700,500,NA,101286,124887,23915,NA,NA,NA,NA,NA,NA,347931,1971,2.404,310331,214246,96085,utility gas,152218,69550,930
2005,Tennessee,TN,East South Central,South,5810590,2837860,2972730,37.3,high school graduate (includes equivalency),850743,38874,114000,583,NA,899717,1040985,291110,NA,NA,NA,NA,NA,NA,2637441,1978,2.456,2366130,1638837,727293,electricity,855545,1274770,4454
2005,Texas,TX,West South Central,South,22270165,10997086,11273079,33.2,some college or associate's degree,3460812,42139,106000,671,NA,3905148,3237790,795194,NA,NA,NA,NA,NA,NA,9026011,1980,2.791,7978095,5162604,2815491,electricity,3233765,4270507,34058
2005,Utah,UT,Mountain,West,2427350,1215268,1212082,28.5,some college or associate's degree,386930,47934,167200,665,NA,246047,417906,47285,NA,NA,NA,NA,NA,NA,873097,1979,3.065,791929,558769,233160,utility gas,675192,76351,811
2005,Vermont,VT,New England,Northeast,602290,295893,306397,40.7,bachelor's degree or higher,136234,45686,173400,683,NA,68793,118472,20696,NA,NA,NA,NA,NA,NA,307345,1970,2.421,248825,176860,71965,"fuel oil, kerosene, etc.",35390,10237,1965
2005,Virginia,VA,South Atlantic,South,7332608,3574553,3758055,37.2,bachelor's degree or higher,1615004,54240,212300,812,NA,728947,1473937,184373,NA,NA,NA,NA,NA,NA,3174708,1977,2.538,2889688,2012391,877297,electricity,1018499,1318024,7869
2005,Washington,WA,Pacific,West,6146338,3052792,3093546,36.7,some college or associate's degree,1226602,49262,227700,741,NA,729470,1145499,207478,NA,NA,NA,NA,NA,NA,2651645,1977,2.508,2450474,1584549,865925,electricity,851732,1266042,7373
2005,West Virginia,WV,South Atlantic,South,1771750,866032,905718,40.7,high school graduate (includes equivalency),209778,33452,84400,483,NA,317240,282640,89820,NA,NA,NA,NA,NA,NA,872203,1970,2.392,740702,558289,182413,utility gas,345151,255398,1179
2005,Wisconsin,WI,East North Central,North Central,5375751,2653937,2721814,37.9,high school graduate (includes equivalency),893199,47105,152600,643,NA,545650,1055747,120273,NA,NA,NA,NA,NA,NA,2498500,1969,2.422,2219571,1556441,663130,utility gas,1453768,288829,5969
2005,Wyoming,WY,Mountain,West,495226,247262,247964,39.1,some college or associate's degree,76944,46202,135000,537,NA,46809,89462,11527,NA,NA,NA,NA,NA,NA,235721,1973,2.417,204935,146504,58431,utility gas,130662,36331,441
