year,state,total,predominant,utility_gas,electricity,fuel_oil_kerosene,bottled_tank_lp_gas,wood,solar_energy,coal_coke,other,none
2016,North Dakota,315134,electricity,126758,130063,8528,40651,1900,9,397,3808,3020
2009,Wyoming,213571,utility gas,129712,42567,565,24644,13054,130,1066,1525,308
2018,North Dakota,319355,utility gas,129563,128042,7346,45025,1240,12,630,3831,3666
2017,North Dakota,316306,electricity,127069,128773,8374,43794,1585,39,508,3510,2654
2007,Delaware,328477,utility gas,128613,98807,60440,36086,2607,0,554,780,590
2007,Wyoming,206136,utility gas,125090,42412,1063,24299,9451,131,1301,1959,430
2013,North Dakota,298298,utility gas,123757,114846,10163,39927,1695,45,1331,4013,2521
2009,Vermont,251736,"fuel oil, kerosene, etc.",37341,10483,123722,38828,37374,149,298,2683,858
2014,North Dakota,305431,electricity,121884,123672,8502,39684,2021,39,1075,4850,3704
2015,Alaska,250185,utility gas,122946,32857,71730,3713,13928,14,1170,1951,1876
2010,Vermont,256922,"fuel oil, kerosene, etc.",41357,13667,122832,35529,38777,122,597,3182,859
2011,Vermont,257358,"fuel oil, kerosene, etc.",39163,10855,122786,39551,41261,98,632,2834,178
2011,Alaska,257330,utility gas,122456,30948,81900,3562,15790,13,782,1100,779
2019,Alaska,252199,utility gas,122448,30611,77795,4879,12171,8,1024,2053,1210
2013,Alaska,246015,utility gas,122315,26064,74729,3471,15670,0,860,2252,654
2018,Alaska,254551,utility gas,122020,34656,73236,5640,12918,50,926,2616,2489
2010,Alaska,254610,utility gas,121979,26546,84963,3998,13879,49,490,1884,822
2005,Delaware,317640,utility gas,121829,86460,67531,36966,1704,0,433,1634,1083
2012,Alaska,251651,utility gas,121498,29529,77163,4021,16548,50,1160,1072,610
2016,Alaska,248468,utility gas,121177,30368,70918,3726,16416,0,915,3627,1321
2008,North Dakota,274743,utility gas,120838,92969,14484,37245,2063,30,1217,3458,2439
2017,Alaska,250741,utility gas,120375,33262,74844,4456,12492,194,571,2365,2182
2006,Delaware,320110,utility gas,119819,88751,67162,38341,3725,0,668,1219,425
2014,Alaska,249659,utility gas,119714,30963,73871,2843,17276,0,1025,2043,1924
2012,North Dakota,290944,utility gas,119677,111749,11457,38617,1571,31,1083,4751,2008
2008,Alaska,237607,utility gas,117543,21826,78645,3663,12931,69,820,1379,731
2011,North Dakota,283440,utility gas,116695,107612,11884,38371,1774,110,1248,3538,2208
2009,Alaska,236597,utility gas,115946,22569,77765,3344,13751,22,1266,1737,197
2007,Alaska,236421,utility gas,115521,22230,81151,4514,10476,0,883,1069,577
2014,Vermont,257229,"fuel oil, kerosene, etc.",43091,11250,115387,38116,43828,179,748,4258,372
2009,North Dakota,279014,utility gas,115000,103443,13625,39179,1458,0,835,3339,2135
2012,Vermont,258520,"fuel oil, kerosene, etc.",41601,12532,114708,38497,46051,206,716,3749,460
2006,North Dakota,272352,utility gas,113736,92338,17050,40095,1883,118,1006,3898,2228
2010,North Dakota,280412,utility gas,112756,104750,12532,41337,1632,73,828,4035,2469
2005,North Dakota,270437,utility gas,112506,86605,19703,41960,1386,0,876,4899,2502
2006,Alaska,229878,utility gas,111340,23558,77905,4472,9472,0,932,1151,1048
2013,Vermont,253234,"fuel oil, kerosene, etc.",42192,11779,111011,38339,44411,257,648,3630,967
2005,Alaska,233252,utility gas,110812,25844,82482,3279,6624,142,851,1830,1388
2007,North Dakota,271724,utility gas,109423,98409,17294,38960,1533,11,1629,2836,1629
2018,Vermont,261373,"fuel oil, kerosene, etc.",47328,14122,108961,44423,40731,819,532,3930,527
2019,Vermont,262767,"fuel oil, kerosene, etc.",48826,16723,108658,48270,34473,547,297,4727,246
2015,Vermont,254865,"fuel oil, kerosene, etc.",45256,12610,108532,40280,42271,263,735,4298,620
2017,Vermont,256629,"fuel oil, kerosene, etc.",47036,14035,107395,43339,38840,612,463,3997,912
2016,Vermont,254851,"fuel oil, kerosene, etc.",46388,14097,106498,42621,39455,571,695,3822,704
